Nome Elemento,ID Elemento,Verifica,Stato
Muro di base: AR_MUR_RIV_20_Generico,725043,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,725044,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,725045,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,725046,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,725047,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,725048,Room Bounding Disattivato,0
Muro di base: AR_MUR_DIV_150_Generico,725049,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,725050,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,725051,Room Bounding Attivato,1
Muro di base: AR_MUR_RIV_20_Generico,725052,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,725053,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,725054,Room Bounding Disattivato,0
Muro di base: AR_MUR_DIV_150_Generico,725056,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,725057,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,725058,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,725059,Room Bounding Attivato,1
Muro di base: AR_MUR_RIV_20_Generico,725060,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,725061,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,725062,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,725063,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,725064,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,725065,Room Bounding Disattivato,0
Muro di base: AR_MUR_TAM_150_Generico,725066,Room Bounding Attivato,1
Muro di base: AR_MUR_RIV_20_Generico,725067,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,725077,Room Bounding Disattivato,0
Muro di base: AR_MUR_RIV_20_Generico,725078,Room Bounding Disattivato,0
Muro di base: AR_MUR_TAM_150_Generico,725082,Room Bounding Attivato,1
Muro di base: AR_MUR_RIV_20_Generico,725083,Room Bounding Disattivato,0
Muro di base: AR_MUR_TAM_150_Generico,725086,Room Bounding Attivato,1
Muro di base: AR_MUR_RIV_20_Generico,725088,Room Bounding Disattivato,0
Muro di base: AR_MUR_DIV_150_Generico,725089,Room Bounding Attivato,1
Muro di base: AR_MUR_RIV_20_Generico,726026,Room Bounding Disattivato,0
Muro di base: AR_MUR_DIV_200_Generico,727502,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,728395,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,728455,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,728503,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,728784,Room Bounding Attivato,1
Muro di base: AR_MUR_RIV_20_Generico,741894,Room Bounding Disattivato,0
Muro di base: AR_MUR_DIV_200_Generico,742771,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,743469,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,743550,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,744019,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,744155,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_300_Generico,744495,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_300_Generico,744532,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_300_Generico,744554,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_300_Generico,744580,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_300_Generico,744909,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_300_Generico,744910,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_300_Generico,744911,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_300_Generico,744912,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_300_Generico,744945,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_300_Generico,744946,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_300_Generico,744947,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_300_Generico,744948,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_300_Generico,745127,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_300_Generico,745128,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_300_Generico,745129,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_300_Generico,745130,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,745708,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,746167,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,746537,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,748566,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,748629,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_200_Generico,748883,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,748931,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,748998,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,749303,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,749485,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,749544,Room Bounding Attivato,1
Muro di base: AR_MUR_DIV_150_Generico,749703,Room Bounding Attivato,1
