GUID,ID,Tipo,Livello,Famiglia,Stato
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b867a,755322,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b867d,755325,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b8690,755344,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b8693,755347,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b8694,755348,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b8695,755349,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b8696,755350,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b8697,755351,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b8698,755352,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
ae8ac69a-e42f-4aa8-80a8-4f8bb974381b-000b8699,755353,FA_PAF_CHI_All_InferioreCordolo: FA_PAF_CHI_All_InferioreCordolo,AR_LIV_PE_P00_+0.00m,Famiglia  : Pannelli di facciata continua : FA_PAF_CHI_All_InferioreCordolo,1
