Quantità,Nome della Famiglia e del Tipo,Valore Parametri,IFC Element,ID,Verifica,Stato
1,,,IfcOpeningElement,1441271,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1441302,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1441274,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1441277,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1441280,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1441283,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1441286,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1441289,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1441292,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1425085,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1425253,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1425345,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1441429,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1441433,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1441437,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1441440,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1441555,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1441531,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1441535,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1441539,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1441543,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1441547,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1441551,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1441647,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1441643,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1441638,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1441633,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1441630,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1441627,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1441477,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1441472,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1441468,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1416355,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1416349,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1416346,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1416343,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1416385,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1415644,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1415640,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1415636,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1415632,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1415628,Da compilare IDE_GEN_I_Wbs0,0
1,,,IfcOpeningElement,1415595,Da compilare IDE_GEN_I_Wbs0,0
