GUID,ID,Categoria,Famiglia e Tipo,Stato
5f17aabb-c5ef-45b9-9a75-3707c92901f0-00123bc3,1194947,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_Locali Tecnici,1
5f17aabb-c5ef-45b9-9a75-3707c92901f0-00123c5e,1195102,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
5f17aabb-c5ef-45b9-9a75-3707c92901f0-00123ca1,1195169,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
5f17aabb-c5ef-45b9-9a75-3707c92901f0-00123ca8,1195176,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
5f17aabb-c5ef-45b9-9a75-3707c92901f0-00123caf,1195183,Controsoffitti,Controsoffitto composto: AR_CON_CSO_150_Uffici,1
5f17aabb-c5ef-45b9-9a75-3707c92901f0-00123cbb,1195195,Controsoffitti,Controsoffitto composto: AR_CON_CSO_150_Uffici,1
5f17aabb-c5ef-45b9-9a75-3707c92901f0-00123cc3,1195203,Controsoffitti,Controsoffitto composto: AR_CON_CSO_150_Uffici,1
5f17aabb-c5ef-45b9-9a75-3707c92901f0-00123cde,1195230,Controsoffitti,Controsoffitto composto: AR_CON_CSO_150_Uffici,1
5f17aabb-c5ef-45b9-9a75-3707c92901f0-00123d5b,1195355,Controsoffitti,Controsoffitto composto: AR_CON_CSO_150_Uffici,1
5f17aabb-c5ef-45b9-9a75-3707c92901f0-00123df2,1195506,Controsoffitti,Controsoffitto composto: AR_CON_CSO_150_Aree comuni,1
5f17aabb-c5ef-45b9-9a75-3707c92901f0-00123f22,1195810,Controsoffitti,Controsoffitto composto: AR_CON_CSO_150_Aree comuni,1
8dc341d5-82b1-4edc-895d-95c1ae961ebc-00124632,1197618,Controsoffitti,Controsoffitto composto: AR_CON_CSO_150_Aree comuni,1
8dc341d5-82b1-4edc-895d-95c1ae961ebc-00124954,1198420,Controsoffitti,Controsoffitto composto: AR_CON_CSO_150_Aree comuni,1
8dc341d5-82b1-4edc-895d-95c1ae961ebc-00124975,1198453,Controsoffitti,Controsoffitto composto: AR_CON_CSO_150_Aree comuni,1
8dc341d5-82b1-4edc-895d-95c1ae961ebc-00124a36,1198646,Controsoffitti,Controsoffitto composto: AR_CON_CSO_150_Aree comuni,1
8dc341d5-82b1-4edc-895d-95c1ae961ebc-00124e47,1199687,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_Locali Tecnici,1
8dc341d5-82b1-4edc-895d-95c1ae961ebc-00125288,1200776,Controsoffitti,Controsoffitto composto: AR_CON_CSO_150_Aree comuni,1
8dc341d5-82b1-4edc-895d-95c1ae961ebc-00125316,1200918,Controsoffitti,Controsoffitto composto: AR_CON_CSO_150_Aree comuni,1
8dc341d5-82b1-4edc-895d-95c1ae961ebc-00125322,1200930,Controsoffitti,Controsoffitto composto: AR_CON_CSO_150_Aree comuni,1
8dc341d5-82b1-4edc-895d-95c1ae961ebc-0012532e,1200942,Controsoffitti,Controsoffitto composto: AR_CON_CSO_150_Aree comuni,1
8dc341d5-82b1-4edc-895d-95c1ae961ebc-001253a7,1201063,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
8dc341d5-82b1-4edc-895d-95c1ae961ebc-001253b0,1201072,Controsoffitti,Controsoffitto composto: AR_CON_CSO_50_WC,1
8dc341d5-82b1-4edc-895d-95c1ae961ebc-001253cc,1201100,Controsoffitti,Controsoffitto composto: AR_CON_CSO_150_Aree comuni,1
